"Akezhuli","阿克朱力","Superburn Planet","C","X","-","1"
"Amu","哈木达","REVIVE","A","X","-","2"
"Andy","安迪","Rock Sound Media","B","X","-","3"
"Bo Yuan","伯远","White Media","C","X","-","4"
"Caelan","庆怜","Avex","B","X","-","5"
"Chen Junjie","陈俊洁","Jiashang Media","B","X","-","6"
"Chen Ruifeng","陈瑞丰","Individual Trainee","C","X","-","7"
"Cao Zao","曹左","Hot Idol","B","X","-","8"
"David","大卫","Individual Trainee","C","X","-","9"
"Dai Shaodong","代少冬","SDT Entertainment","C","X","-","10"
"Eisho","佐藤永翔","STARDUST","C","X","-","11"
"Fu Sichao","付思超","Wajijiwa Entertainment","A","X","-","12"
"Fan Zhener","范臻尔","Qianlai Entertainment","A","X","-","13"
"Gu Liulin","谷柳霖","Super Boom Star","C","X","-","14"
"Gui Shangqi","贵尚奇","Cheng Meng Culture","F","X","-","15"
"Gan Wangxing","甘望星","Yuxiao Media","C","X","-","16"
"Hiroto","井汲大翔","RBW","C","X","-","17"
"Huang Kun","黄鲲","Flow Sixteen Media","F","X","-","18"
"Han Peiquan","韩佩泉","Individual Trainee","B","X","-","19"
"Hu Yetao","胡烨韬","MISTAR","C","X","-","20"
"He Yifan","何屹繁","Hao Xin Entertainment","F","X","-","21"
"He Yijun","何懿峻","Jaywalk Newjoy","F","X","-","22"
"He Zhenyu","何圳煜","Flow Sixteen Media","C","X","-","23"
"Ichika","上原一翔","Diwon Media","B","X","-","24"
"Jiang Dunhao","蒋敦豪","Hixi Media","C","X","-","25"
"Jumpei","隅田隼平","RBW","C","X","-","26"
"Jing Long","井胧","Individual Trainee","C","X","-","27"
"Kazuma","和马","Avex","B","X","-","28"
"Keiya","田口馨也","RBW","C","X","-","29"
"Liu Cong","刘聪","Xinhua Beiyi","A","X","-","30"
"Lu Dinghao","陆定昊","Individual Trainee","C","X","-","31"
"Li Jiahao","李家豪","Cheng Meng Culture","C","X","-","32"
"Li Jiaxiang","李嘉祥","Meng Yu Mei Ji","C","X","-","33"
"Lailai","一之濑飞鸟","Sound Nova","B","X","-","34"
"Lelush","利路修","King Holdings","F","X","-","35"
"Lindow","林豆","Esee Model","C","X","-","36"
